"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTN1",0.301292069062082,8.76388968510203,1.20158848013634,0.252646032107004,1,-4.58542518279096
"ACTN2",-0.49793388530055,1.79851457210115,-0.493131747980322,0.630798689613639,1,-4.61508351415536
"ACTN3",-0.206733601908092,0.171747915431338,-0.613910977436619,0.550707845356211,1,-4.61150376141148
"ACTN4",-0.0430780366522661,9.38373952316439,-0.12710802948095,0.900954930206173,1,-4.62133887735137
"ACTR10",-0.339882838741016,8.26309091826713,-1.06263522898752,0.308815367679366,1,-4.59268617980386
"ACTR1A",0.29670046996982,8.43140911101562,1.14222152864565,0.275588251062931,1,-4.58859517658571
"ACTR1B",0.397696074451892,7.95210636735718,1.59405348637628,0.136846162940508,1,-4.56250417145103
"ACTR2",-0.354244418823711,9.61705960283193,-1.34733360107526,0.202703914479513,1,-4.57726691155518
"ACTR3",-0.255728912182209,7.81106466613767,-0.419501234235589,0.682244434515795,1,-4.61691144895798
"ACTR3B",0.150706862310885,1.88834750719637,0.223818485430945,0.826654678437714,1,-4.62038918348586
"ACTR5",0.681972196934832,5.89958249135227,1.71075775848443,0.112766702182621,1,-4.55522898801644
"ACTR6",0.114086200798765,9.10232971261034,0.302916767251294,0.767127805829516,1,-4.61923038897608
"ACTR8",-0.323278612942036,3.87778846789086,-0.566266444703971,0.581623485645616,1,-4.61299997305249
"ACTRT1",0.905579227823709,4.50168375672194,0.95629139253391,0.357749637686229,1,-4.59783886787974
"ACVR1",-0.02189236382299,8.77387769653505,-0.0723117093326071,0.943542266897462,1,-4.62164577089884
"ACVR1B",-0.516286204710877,6.87593787484894,-1.29510529361389,0.219588626291442,1,-4.58024727604699
"ACVR1C",0.206393798541158,0.807277716546968,0.273056070985906,0.789441390792283,1,-4.61970780053407
"ACVR2A",-0.42420527014765,6.19119406066415,-1.8171993969391,0.0941666883180642,1,-4.54848997871553
"ACVR2B",1.29559960834311,0.69589110930706,1.7055447596085,0.113756570038588,1,-4.55555682423986
"ACVRL1",-1.49527348172015,2.39636298430625,-1.57275099851591,0.141696173243299,1,-4.56381557994945
"ACY1",-0.0893056310804575,7.98362085571283,-0.338148061024694,0.74108006115999,1,-4.61860545646465
"ACY3",1.47195621580293,1.92697433717715,1.5802592926546,0.139969984082263,1,-4.56335401599968
"ACYP1",-0.404971658889823,7.26143941047347,-1.13695032462419,0.27770067708118,1,-4.58887191109486
"ACYP2",0.312802502052496,6.26101252378535,0.69640978571133,0.499408249788893,1,-4.60866413104477
"ADA",0.658564827250965,4.80759201987163,0.936088122597641,0.367640776124789,1,-4.59877396630888
"ADAD1",-0.321141681116241,0.583968441530706,-0.489390552746799,0.633367513409383,1,-4.6151830003217
"ADAD2",1.22022056454839,2.7758467109265,1.26068008839493,0.231328486361916,1,-4.58217810354237
"ADAL",-0.497272060345386,3.33901641802823,-0.482381584982961,0.638193529986594,1,-4.61536749770694
"ADAM10",-1.03049144831079,3.1254014680713,-1.07277423944096,0.304422473025687,1,-4.59217566557147
"ADAM11",0.0499804291185109,1.04355766619777,0.0501642761142862,0.960814818781508,1,-4.62172203529895
"ADAM12",0.0216204882003484,0.2190397241085,0.0578249701177451,0.954837507130268,1,-4.62169877247611
"ADAM15",0.0604448552601823,9.05009593751452,0.16743997565855,0.869805795772776,1,-4.62100585564818
"ADAM17",-0.16098743077705,4.6649114045565,-0.321290761551128,0.753503819851943,1,-4.61891275814271
"ADAM18",0.334641237588941,0.90126703100488,0.530667712250021,0.605307880251721,1,-4.61404688756873
"ADAM19",-0.457720322819071,3.51847019682851,-0.698124317534517,0.49837317639867,1,-4.60860186415724
"ADAM2",0.536186482650766,1.74549992361732,0.763529437232832,0.459861300505526,1,-4.60613107482547
"ADAM20",-0.161791461684676,0.422024600534267,-0.322809824093637,0.752381256785365,1,-4.61888568833667
"ADAM21",0.352922575422324,1.80611273987279,0.452699541614827,0.658821399863252,1,-4.61612138919134
"ADAM22",0.0165713508806387,0.00860435526494701,0.0940105880992524,0.926648496583461,1,-4.6215443533556
"ADAM23",-0.330338794672323,1.83950766974217,-0.406250520415831,0.691692633777178,1,-4.61721095018816
"ADAM28",-1.80923361463206,2.56272976810924,-2.03840394611539,0.0641147114611383,1,-4.5343234621961
"ADAM29",0.803198117504852,1.03248924842549,0.980163147497083,0.346307975018152,1,-4.5967154152894
"ADAM30",-0.907160607128753,1.05191123574344,-1.64242446825794,0.126367073157435,1,-4.55950617786356
"ADAM32",0.458263139787322,2.65976069244218,0.569978453691701,0.579182189494838,1,-4.61288728131756
"ADAM33",-0.333699931357282,1.14823547921434,-0.46282470154643,0.651750669136078,1,-4.61586922931831
"ADAM3A",0.206018984574784,0.249315987730412,0.674174795136027,0.512947781033432,1,-4.60945981119814
"ADAM5",0.0856340929972141,0.841042020522605,0.129102766658973,0.899409843200918,1,-4.62132453734177
"ADAM5P",-0.254410090745247,0.458006232419766,-0.508590816849363,0.620237592335524,1,-4.61466502886104
"ADAM6",-0.417007710405447,0.578065349445745,-0.653722291581521,0.52559047890498,1,-4.61017210819434
"ADAM7",0.570158084235697,1.89561876103078,0.632352899545261,0.538990097992475,1,-4.61089598716296
"ADAM8",-0.349161037429282,4.60661994412834,-0.68004108819422,0.509354763451108,1,-4.60925202800812
