Gene_Symbol,GSM1289627,GSM1289628,GSM1289629,GSM1289630,GSM1289631,GSM1289632,GSM1289633,GSM1289634,GSM1289635,GSM1289636,GSM1289637,GSM1289638,GSM1289639,GSM1289640,GSM1289641
LOC728763,8.496737,-1.758954,14.28455,16.98504,16.94414,7.60786,5.193779,-0.4480247,0.197993,4.384198,-0.8454582,8.968001,6.399332,-0.4997312,-2.057854
LOC728765,3.475007,15.49251,1.86917,5.940557,10.33585,4.67693,13.39907,12.82158,2.95694,18.97471,10.45922,15.74844,13.82519,2.932044,28.58165
LOC728772,9.754163333333333,5.730238666666668,8.249081,3.11901783,12.544305000000001,8.748047999999999,4.617781333333333,-0.9040804210000001,5.735895333333333,10.132189666666667,3.8929001666666667,9.782546633333332,10.004055333333334,7.127184333333332,4.840382
LOC728789,-2.623191,3.93908,9.565169,-2.091085,-2.529037,10.21546,9.13538,2.899469,-0.4779149,1.138198,-3.4552,0.2433281,0.179909,0.2018379,0.589457
LOC728799,8.052628,-1.381373,6.759919,16.99583,2.948513,5.884211,4.235458,4.483739,6.395418,7.20503,7.743987,0.5720217,10.418,10.57843,4.635866
LOC728811,14.7736,14.02655,14.19213,10.06545,90.38285,12.54113,16.02902,27.92571,19.67957,19.31353,27.41398,18.29759,25.55238,34.68869,29.28648
LOC728825,15.02456,8.661414,5.189097,5.940398,0.9167084,3.357405,8.02302,3.937997,7.726911,7.818718,19.90341,14.93378,8.463201,27.51799,12.14512
LOC728832,2.6947294999999998,8.9616085,3.6002894999999997,10.5395857,-2.53393155,7.058785500000001,15.857990000000001,8.3779993,-1.3165685,-0.7859984999999998,-3.1588905,4.8919725,0.74024515,-3.6332665,6.09088
LOC728844,1.456468,9.180198,-3.47485,-2.090339,-5.731626,3.355804,-1.236828,-2.105888,-7.207587,-9.010978,-5.123425,7.461119,-4.285429,-1.368175,-4.621465
LOC728858,-2.112107,-1.389109,4.107034,78.94144,16.92478,4.852549,2.054989,1.415474,14.93543,15.02363,14.3256,13.49073,8.007023,25.64459,10.57033
LOC728863,5.850453,4.200785,0.625371,-0.05602975,4.115933,5.887698,4.194252,5.856073,-1.574505,2.455684,1.399965,9.823169,0.1617447,6.479151,1.643836
LOC728876,8.054185,-9.666802,-0.6542646,-5.466152,0.9165245,-0.6660514,2.050381,-0.4773625,-5.934466,-1.880566,-5.369603,-3.466366,-5.418883,-7.777087,-8.010386
LOC728888,1125.202,1566.893,2144.992,2317.859,2283.343,1429.075,1110.302,808.4037,1290.314,1064.309,743.5223,1062.856,1350.232,849.2052,837.2512
LOC728895,-2.111231,7.744593,6.66474,-9.37242,0.9172328,-0.9299212,-4.218058,-2.090741,4.209574,-2.533883,-0.536319,2.958366,-2.805176,0.7224335,0.9068097
LOC728904,-4.2554,8.763165,7.483877,-0.6555099,-2.522672,-0.6702021,-3.919753,-1.24559,-6.779945,0.7348615,-2.784883,1.479644,-2.511454,2.06647,2.053489
LOC728910,138.3009,734.6372,429.5787,122.6338,90.12524,1598.568,1060.282,350.6941,192.4767,292.5889,1001.086,74.99997,189.7085,220.6289,729.1038
LOC728912,0.86892115,0.05410549999999992,-0.013086299999999995,7.8508125,-0.7427839999999999,0.7823674999999999,-1.992199,4.020674,-0.30587995,1.7921043,2.815522,-0.6024820000000002,2.37847755,2.3129271499999997,4.050301800000001
